station_id,night,morning,noon,afternoon,evening
519,46.33333333,1035.666667,738.3333333,643.75,1005
520,30.5,1184.333333,667.6666667,349.25,170.125
522,7.333333333,214.3333333,71.33333333,85.75,48
523,30.33333333,294.3333333,459.6666667,347,476.5
524,9.166666667,450.3333333,462.6666667,200.75,122.25
525,21.66666667,175.3333333,238.6666667,246.5,243.375
526,19,286.3333333,368,284.25,205.625
527,39.16666667,369.3333333,242.6666667,241.5,329.125
528,16.66666667,164,126,165.25,255.125
529,32.83333333,146.3333333,146.6666667,285.5,296.875
530,16.83333333,224,190.3333333,234,272.875
531,37.83333333,127,200.3333333,250.5,333.375
532,26.33333333,41.66666667,128.3333333,240.25,241.75
533,16.33333333,417.3333333,409.3333333,249.75,128.875
534,3.333333333,273.3333333,122.3333333,129.5,87.625
536,38.5,393.6666667,281,223.25,187.75
537,37,354.3333333,496.6666667,373,402.875
539,16.16666667,98.33333333,168.3333333,227.25,220.875
540,18.16666667,161.3333333,327.6666667,274.5,292.625
545,3,45,31,50.25,41.375
546,26.5,237,374,240.25,229
2000,7.166666667,159,190.6666667,204.25,142.625
2001,0,22,35,20,17.25
2002,19.33333333,112.6666667,192,172.25,195.625
2003,0.833333333,11.66666667,9.333333333,8.25,15.5
2004,16.16666667,258.6666667,158.3333333,184.5,175.625
2005,1,7.333333333,7.666666667,5.25,1.125
2006,24.5,462,576,840,437.5
2008,19.83333333,142.3333333,307.6666667,440.5,373.625
2009,18,41.33333333,67.66666667,93.75,133.375
2010,8.833333333,148,354.3333333,269.5,185.5
2012,22.66666667,384.3333333,216,164.5,155
2017,9.5,146.3333333,187,103.5,94.125
2021,20.83333333,113.3333333,201.6666667,238.25,308.625
2022,1.666666667,54.66666667,69.66666667,68.25,48.625
2023,3,253,89.66666667,96.25,50.25
3002,27.66666667,409,384.3333333,502,500.375
3016,16,115,186.3333333,287,249.5
3017,0.5,0.666666667,0,0.5,0.625
3036,0,0,1.333333333,0.5,0
3040,0,0,0,0.25,0
3041,4.666666667,7.333333333,10.66666667,16,23.875
3042,6.166666667,27,30,21.75,25.875
3043,2.333333333,2,12.66666667,14.25,21.5
3044,0.666666667,5.333333333,10,11.25,10.875
3046,8,3.333333333,11.33333333,21.5,34.75
3047,5.166666667,10.66666667,16,17.25,34.875
3048,6.333333333,8,4.666666667,12.5,29.375
3049,3.666666667,6.666666667,13.66666667,22.25,41.75
3050,7.333333333,9,9.666666667,15.5,33.875
3052,10.33333333,7,18.66666667,31.25,67.625
3053,2.5,1.666666667,9.666666667,13.25,26.375
3054,3.5,1.333333333,5.666666667,14.25,36.125
3055,4.5,14,20,20,35
3056,3.5,22.66666667,22,20.5,26.75
3057,3.333333333,4,13.66666667,19.25,56
3058,5.166666667,4,11,18,36
3059,6.166666667,3,4,11.25,24
3060,13.33333333,1.333333333,6,16.25,33.25
3061,4.666666667,15,5.333333333,11.75,17.625
3062,9.166666667,29.66666667,29.66666667,19.5,22.625
3063,3.666666667,4.333333333,21.66666667,20.25,25
3064,14.33333333,47.33333333,49.33333333,57.5,72.25
3065,4.666666667,7.666666667,13,25.25,26.75
3066,7.5,20.66666667,58.33333333,38.75,23.125
3067,7.5,22.66666667,21,29.75,40.5
3068,8.666666667,20.66666667,28.66666667,49,53.375
3069,1.833333333,18.33333333,21,17.5,20.125
3070,4.833333333,3,9.666666667,22,36.375
3071,1.833333333,19.33333333,38.66666667,23.25,33.875
3072,6.833333333,4,10,15.75,43.5
3073,11.33333333,22.33333333,22.33333333,27.25,37.5
3074,14.5,34.33333333,80.33333333,88.25,110.25
3075,0.833333333,5,19,15,13.375
3076,8.833333333,18,16,22.75,59.5
3077,16,9.666666667,25.66666667,47,79.25
3078,7.166666667,100.6666667,93,71.25,62.5
3079,10.5,7,27.66666667,46.5,81.25
3080,7.666666667,24,33.66666667,37.75,56.25
3081,8.833333333,6.333333333,16,37,46.125
3082,12.66666667,22,53,58.75,94.5
3083,10.33333333,11.66666667,22.33333333,45.25,64.75
3084,5.833333333,29.33333333,31.66666667,36.75,58.25
3085,8.833333333,26.33333333,56.33333333,87.75,97.125
3086,10.83333333,110,108.6666667,70.5,98.75
3087,18.66666667,65.66666667,77,88.5,97
3088,4.666666667,13.66666667,23.66666667,33,56.25
3089,3.5,5,12.33333333,16.25,25.375
3090,12.83333333,252,178.3333333,155,161.625
3091,5.666666667,4.666666667,10.66666667,28.75,45.875
3092,8.833333333,114.3333333,191.3333333,122,110.625
3093,20.16666667,249.6666667,183.3333333,188.25,187.125
3094,10.16666667,8.666666667,16.33333333,30.75,53.25
3095,7.833333333,4.333333333,13.66666667,20.5,48.25
3096,10,38.66666667,73.66666667,94,115.875
3098,1.5,43,25.33333333,27,39.25
3099,3.5,7,25.33333333,24.25,36.5
3100,26.5,14,25.66666667,45,94.375
3101,7,35,67,76.75,81.375
3102,4.333333333,23.33333333,42.33333333,50,63.5
3103,9.833333333,17,51.66666667,84.25,86.375
3105,2,11.33333333,24.66666667,31.25,34.25
3106,12.33333333,16.66666667,35.66666667,56.75,100.5
3107,14.16666667,54.33333333,112.3333333,144,174.75
3108,12.5,38.66666667,44.33333333,77.75,143.75
3109,10.66666667,18.33333333,45,57.75,86.625
3110,10.83333333,43.66666667,68.33333333,87.25,104
3111,13.83333333,20.66666667,39,48.5,73.5
3112,18.33333333,64.33333333,156.3333333,147,173.75
3113,14.66666667,54.33333333,73.33333333,79.5,104.25
3114,0.833333333,67.33333333,30,18.5,16
3115,11.16666667,36.66666667,40.66666667,65.75,111.25
3116,14.33333333,21,44.66666667,75.25,135.5
3117,8.5,17.66666667,40.66666667,52.75,79.375
3118,8.666666667,27.66666667,28.66666667,51,86
3119,6.666666667,254,144.3333333,96.5,106.75
3120,2.833333333,22.66666667,23,29.5,51.625
3121,1.666666667,9.333333333,45.33333333,45.25,32.875
3122,5.166666667,8.666666667,49,40,50.25
3123,0.666666667,16,17.33333333,17.75,13.375
